index,cwe key word,matched key word,file,func,hunk,function_name,note,repo,branch,url,testcase
1,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},1(1),1,23,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",,pgjdbc,"['master', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/master', 'remotes/origin/release-notes']",https://github.com/pgjdbc/pgjdbc/commit/06abfb78a627277a580d4df825f210e96a4e14ee,0
2,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},1(1),1,23,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",,pgjdbc,['remotes/origin/release/42.6.x'],https://github.com/pgjdbc/pgjdbc/commit/d368b1cc5fbfc9750151f87d78e12db97e13af0e,0
3,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},1(1),1,23,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",,pgjdbc,['remotes/origin/release/42.5.x'],https://github.com/pgjdbc/pgjdbc/commit/475e3e2af3033c666fc1c0015159b35455118ae5,0
4,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},1(1),1,23,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",,pgjdbc,['remotes/origin/release/42.4.x'],https://github.com/pgjdbc/pgjdbc/commit/fe002b31f2c7dcf7e2fe75fe7fd18df4e4503abf,0
5,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},1(1),1,23,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",,pgjdbc,['remotes/origin/release/42.3.x'],https://github.com/pgjdbc/pgjdbc/commit/d93c74127f5aebda2baa8fcefed4f0b4dfe81d95,0
6,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},1(1),1,25,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",,pgjdbc,['remotes/origin/release/42.2.x'],https://github.com/pgjdbc/pgjdbc/commit/990d63f6be401ab40de5eb303a75924c9e71903c,0
7,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},7(7),3,31,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'validateSignature', 'validateSignature', None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'fail']",,armeria,"['main', 'remotes/origin/HEAD -> origin/main', 'remotes/origin/dependabot/gradle/com.gradle.develocity-3.18.1', 'remotes/origin/dependabot/npm_and_yarn/docs-client/multi-9423f4c335', 'remotes/origin/dependabot/npm_and_yarn/docs-client/multi-afc9931b78', 'remotes/origin/dependabot/npm_and_yarn/docs-client/multi-ca6fe5ed03', 'remotes/origin/dependabot/npm_and_yarn/docs-client/multi-cf87d80143', 'remotes/origin/dependabot/npm_and_yarn/docs-client/multi-d66d039ac5', 'remotes/origin/dependabot/npm_and_yarn/docs-client/webpack-5.94.0', 'remotes/origin/dependabot/npm_and_yarn/site/dompurify-2.5.4', 'remotes/origin/dependabot/npm_and_yarn/site/multi-544286e85d', 'remotes/origin/dependabot/npm_and_yarn/site/multi-ceff1a497b', 'remotes/origin/main', 'remotes/origin/patch_1.29.4']",https://github.com/line/armeria/commit/b2aa9f49b46a7b0e03d8b8d753809cd1e8e2016c,0
8,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},1(1),1,1,[None],,dataease,"['remotes/origin/dev', 'remotes/origin/v1.18']",https://github.com/dataease/dataease/commit/bb540e6dc83df106ac3253f331066129a7487d1a,1
9,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},1(0),0,0,[],,centraldogma,"['main', 'remotes/origin/0.67.3', 'remotes/origin/HEAD -> origin/main', 'remotes/origin/main', 'remotes/origin/patch0.67.1', 'remotes/origin/patch0.67.2']",https://github.com/line/centraldogma/commit/16903426be2e954c050b3ee47b8c38ee3218f0eb,1
10,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},21(6),2,17,"[None, None, None, None, 'upsertNamespaceAndResourceToK8s', None, None, None, None, None, None, None, None, None, None, None, None]",,dolphinscheduler,"['dev', 'remotes/origin/3.2.1-prepare', 'remotes/origin/3.2.1-release', 'remotes/origin/3.2.2-prepare', 'remotes/origin/3.2.2-release', 'remotes/origin/HEAD -> origin/dev', 'remotes/origin/dev', 'remotes/origin/dev_wenjun_refactorMaster']",https://github.com/apache/dolphinscheduler/commit/8c01fcf14b199e2c1ba86c17351e1ea30614f484,0
11,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},6(4),3,12,"[None, None, None, None, None, None, None, None, 'getUserPrincipal', None, None, 'unregisterSession']",,tomcat,['remotes/origin/8.5.x'],https://github.com/apache/tomcat/commit/3631adb1342d8bbd8598802a12b63ad02c37d591,0
12,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},6(4),3,12,"[None, None, None, None, None, None, None, None, 'getUserPrincipal', None, None, 'unregisterSession']",,tomcat,['remotes/origin/9.0.x'],https://github.com/apache/tomcat/commit/52d6650e062d880704898d7d8c1b2b7a3efe8068,0
13,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},6(4),3,12,"[None, None, None, None, None, None, None, None, 'getUserPrincipal', None, None, 'unregisterSession']",,tomcat,['remotes/origin/10.1.x'],https://github.com/apache/tomcat/commit/0052b374684b613b0c849899b325ebe334ac6501,0
14,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},6(4),3,12,"[None, None, None, None, None, None, None, None, 'getUserPrincipal', None, None, 'unregisterSession']",,tomcat,"['main', 'remotes/origin/11.0.x', 'remotes/origin/HEAD -> origin/main', 'remotes/origin/main']",https://github.com/apache/tomcat/commit/b0e3b1bd78de270d53e319d7cb79eb282aa53cb9,0
15,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},6(4),3,12,"[None, None, None, None, None, None, None, None, 'getUserPrincipal', None, None, 'unregisterSession']",,tomcat,"['main', 'remotes/origin/11.0.x', 'remotes/origin/HEAD -> origin/main', 'remotes/origin/main']",https://github.com/apache/tomcat/commit/b0e3b1bd78de270d53e319d7cb79eb282aa53cb9,0
16,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},6(4),3,12,"[None, None, None, None, None, None, None, None, 'getUserPrincipal', None, None, 'unregisterSession']",,tomcat,['remotes/origin/10.1.x'],https://github.com/apache/tomcat/commit/0052b374684b613b0c849899b325ebe334ac6501,0
17,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},6(4),3,12,"[None, None, None, None, None, None, None, None, 'getUserPrincipal', None, None, 'unregisterSession']",,tomcat,['remotes/origin/9.0.x'],https://github.com/apache/tomcat/commit/52d6650e062d880704898d7d8c1b2b7a3efe8068,0
18,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},6(4),3,12,"[None, None, None, None, None, None, None, None, 'getUserPrincipal', None, None, 'unregisterSession']",,tomcat,['remotes/origin/8.5.x'],https://github.com/apache/tomcat/commit/3631adb1342d8bbd8598802a12b63ad02c37d591,0
19,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},1(1),1,2,"[None, None]",,ambari,"['remotes/origin/branch-2.7', 'remotes/origin/branch-2.7.8']",https://github.com/apache/ambari/commit/d9652e4611ea36208d5f748028b3a9cd980e6edb,1
20,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},2(1),1,3,"[None, None, None]",,htmlpublisher-plugin,"['master', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/dependabot/maven/io.jenkins.tools.bom-bom-2.440.x-3358.vea_fa_1f41504d', 'remotes/origin/dependabot/maven/org.jenkins-ci.plugins-plugin-4.87', 'remotes/origin/dependabot/maven/org.owasp.encoder-encoder-1.3.1', 'remotes/origin/master']",https://github.com/jenkinsci/htmlpublisher-plugin/commit/c0eed940e65ea90f9b5ba21aa3d953546d5cd8ad,0
21,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},1(0),0,0,[],,sofa-rpc,"['master', 'remotes/origin/HEAD -> origin/master', 'remotes/origin/enhance/log_format', 'remotes/origin/master']",https://github.com/sofastack/sofa-rpc/commit/d08e25824ae9feaf0876adba9acd2938f34759b1,1
22,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},5(4),3,13,"[None, None, None, None, None, None, None, None, None, None, 'updateProxyLogLevel', 'getProxyLogLevel', None]",,pulsar,['remotes/origin/branch-2.10'],https://github.com/apache/pulsar/commit/084347c801185f14e42e7d399327092efbed101f,1
23,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},5(4),3,13,"[None, None, None, None, None, None, None, None, None, None, 'updateProxyLogLevel', 'getProxyLogLevel', None]",,pulsar,['remotes/origin/branch-2.11'],https://github.com/apache/pulsar/commit/c644849b2dd21c824eaaeeb5b5482df7e492f49a,1
24,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},5(4),3,13,"[None, None, None, None, None, None, None, None, None, None, 'updateProxyLogLevel', 'getProxyLogLevel', None]",,pulsar,['remotes/origin/branch-3.0'],https://github.com/apache/pulsar/commit/a302772e391c6162e9e9554d217e2fb88915d047,1
25,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},5(4),3,13,"[None, None, None, None, None, None, None, None, None, None, 'updateProxyLogLevel', 'getProxyLogLevel', None]",,pulsar,['remotes/origin/branch-3.1'],https://github.com/apache/pulsar/commit/fd6c4f817c3d8c9e6e8afffe5080637ef9727e56,1
26,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},1(1),1,1,['isFullyAuthenticated'],,spring-security,"['main', 'remotes/origin/5.7.x', 'remotes/origin/5.8.x', 'remotes/origin/6.1.x', 'remotes/origin/6.2.x', 'remotes/origin/6.3.x', 'remotes/origin/HEAD -> origin/main', 'remotes/origin/gh-15395', 'remotes/origin/main', 'remotes/origin/wrapperbot/spring-security/gradle-wrapper-8.10', 'remotes/origin/wrapperbot/spring-security/gradle-wrapper-8.10.1', 'remotes/origin/wrapperbot/spring-security/gradle-wrapper-8.9']",https://github.com/spring-projects/spring-security/commit/5a7f12f1a9fdb4edaab6f61495f1d781a7273b61,0
27,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},1(1),1,1,['isFullyAuthenticated'],,spring-security,"['main', 'remotes/origin/5.7.x', 'remotes/origin/5.8.x', 'remotes/origin/6.1.x', 'remotes/origin/6.2.x', 'remotes/origin/6.3.x', 'remotes/origin/HEAD -> origin/main', 'remotes/origin/gh-15395', 'remotes/origin/main', 'remotes/origin/wrapperbot/spring-security/gradle-wrapper-8.10', 'remotes/origin/wrapperbot/spring-security/gradle-wrapper-8.10.1', 'remotes/origin/wrapperbot/spring-security/gradle-wrapper-8.9']",https://github.com/spring-projects/spring-security/commit/5a7f12f1a9fdb4edaab6f61495f1d781a7273b61,0
28,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},1(1),1,1,['isFullyAuthenticated'],,spring-security,"['main', 'remotes/origin/5.7.x', 'remotes/origin/5.8.x', 'remotes/origin/6.1.x', 'remotes/origin/6.2.x', 'remotes/origin/6.3.x', 'remotes/origin/HEAD -> origin/main', 'remotes/origin/gh-15395', 'remotes/origin/main', 'remotes/origin/wrapperbot/spring-security/gradle-wrapper-8.10', 'remotes/origin/wrapperbot/spring-security/gradle-wrapper-8.10.1', 'remotes/origin/wrapperbot/spring-security/gradle-wrapper-8.9']",https://github.com/spring-projects/spring-security/commit/5a7f12f1a9fdb4edaab6f61495f1d781a7273b61,0
29,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},1(1),1,1,['isFullyAuthenticated'],,spring-security,"['main', 'remotes/origin/5.7.x', 'remotes/origin/5.8.x', 'remotes/origin/6.1.x', 'remotes/origin/6.2.x', 'remotes/origin/6.3.x', 'remotes/origin/HEAD -> origin/main', 'remotes/origin/gh-15395', 'remotes/origin/main', 'remotes/origin/wrapperbot/spring-security/gradle-wrapper-8.10', 'remotes/origin/wrapperbot/spring-security/gradle-wrapper-8.10.1', 'remotes/origin/wrapperbot/spring-security/gradle-wrapper-8.9']",https://github.com/spring-projects/spring-security/commit/5a7f12f1a9fdb4edaab6f61495f1d781a7273b61,0
30,"{'CWE-79': ['XSS', 'Cross Site Scripting']}",{'CWE-79': ['XSS']},1(1),1,2,"[None, None]",,centraldogma,"['main', 'remotes/origin/0.67.3', 'remotes/origin/HEAD -> origin/main', 'remotes/origin/main', 'remotes/origin/patch0.67.1', 'remotes/origin/patch0.67.2']",https://github.com/line/centraldogma/commit/8edcf913b88101aff70008156b0881850e005783,0
